Column1;Artist;Track;Spotify_Duration;Spotify_EurovisionYear;Spotify_Popularity
135;Käärijä;Cha Cha Cha;175161;2023;63
143;La Zarra;Évidemment;181000;2023;52
148;Let 3;Mama Šč!;154888;2023;40
169;Lord Of The Lost;Blood & Glitter;179100;2023;45
136;Loreen;Tattoo;183374;2023;80
150;Luke Black;Samo Mi Se Spava;173592;2023;42
165;Mae Muller;I Wrote A Song;165151;2023;0
166;Marco Mengoni;Due Vite;225652;2023;57
149;Mia Nicolai;Burning Daylight;184000;2023;41
164;Mimicat;Ai Coração;174123;2023;39
167;Monika Linkyte;Stay;184285;2023;37
141;Noa Kirel;Unicorn;170900;2023;51
160;Pasha Parfeni;Soarele Si Luna;178800;2023;44
159;Piqued Jacks;Like An Animal;179773;2023;0
170;Reiley;Breaking My Heart;165179;2023;38
147;Remo Forrer;Watergun;172555;2023;49
161;Sudden Lights;Aijā;180782;2023;38
152;Teya;Who The Hell Is Edgar?;159417;2023;50
144;The Busker;Dance (Our Own Party);169514;2023;37
171;Theodor Andrei;D.G.T (Off And On);179165;2023;29
145;Turalturanx;Tell Me More;178750;2023;31
162;Tvorchi;Heart Of Steel;158461;2023;42
142;Vesna;My Sister'S Crown;176800;2023;49
140;Victor;What They Say;179672;2023;33
155;Voyager;Promise;183510;2023;43
146;Wild Youth;We Are One ;172500;2023;0
189;5Miinust;(Nendest) Narkootikumidest Ei Tea Me (Küll) Midagi;167125;2024;50
195;Aiko;Pedestal;177368;2024;42
179;Alyona Alyona;Teresa & Maria;179473;2024;60
174;Angelina Mango;La Noia;189124;2024;62
177;Baby Lasagna;Rim Tim Tagi Dim;179062;2024;61
182;Bambie Thug;Doomsday Blue;183741;2024;57
204;Besa;Titan;176707;2024;39
199;Dons;Hollow;171817;2024;45
183;Eden Golan;Hurricane;178965;2024;54
203;Electric Fields;One Milkali (One Blood);176883;2024;40
205;Fahree;Özünlə Apar;182090;2024;40
196;Gåte;Ulveham;182346;2024;0
209;Hera Björk;Scared Of Heights;183657;2024;36
201;Iolanda;Grito;176447;2024;39
184;Isaak;Always On The Run;209562;2024;58
173;Joost;Europapa;160218;2024;67
187;Kaleen;We Will Rave;185066;2024;55
194;Ladaniva;Jako;145432;2024;50
191;Luna;The Tower;180333;2024;47
178;Marcus & Martinus;Unforgettable;168845;2024;58
181;Marina Satti;Zari;180979;2024;51
207;Megara;11:11;180087;2024;39
190;Mustii;Before The Party'S Over;179923;2024;49
208;Natalia Barbu;In The Middle;178853;2024;37
180;Nebulossa;Zorra;183577;2024;58
175;Nemo;The Code;180141;2024;65
202;Nutsa;Firefighter;183913;2024;27
186;Olly Alexander (Years & Years);Dizzy;180504;2024;26
198;Raiven;Veronika;166222;2024;45
200;Saba;Sand;180959;2024;44
206;Sarah Bonnici;Loop;179727;2024;42
193;Silia Kapsis;Liar;178812;2024;37
185;Silvester Belt;Luktelk;161142;2024;0
176;Slimane;Mon Amour;180908;2024;64
192;Tali;Fighter;179738;2024;50
197;Teya Dora;Ramonda;174352;2024;0
188;Windows95Man;No Rules!;175896;2024;52
